season,player_id,price,keep_count,reason
2025,8151,31,,"Kenneth Walker: miscounted as a second keep and charged $31 where the ladder said $36. LM ruled the charged amount stands, so 2026 escalates from $31."
2025,9488,10,1,"Jaxon Smith-Njigba: selected in the new-owner expansion draft, where the keeper value is assigned at selection. Sleeper records no expansion draft, so the value and ladder position are set here."
